Wavelength (micron),Transit Depth (%): best fit equilibrium,Transit Depth (%): CH4 upper limit,Transit Depth (%): no clouds,Transit Depth (%): no CO2,Transit Depth (%): no H2O,Transit Depth (%): no H2S,Transit Depth (%): cloudy solar
3.410109521,2.094925203,2.118606908,2.01535356,2.095116879,2.064875155,2.095375737,2.125747619
3.42149553,2.096695958,2.121371737,2.019553813,2.096888937,2.067430386,2.097943858,2.128398109
3.432919555,2.095362298,2.121871079,2.01679178,2.095552924,2.073372731,2.095264972,2.130593023
3.444381724,2.093798929,2.12071239,2.014059447,2.093986067,2.074631561,2.093291991,2.127840586
3.455882164,2.092464358,2.118314423,2.011500168,2.092649475,2.077175191,2.090629965,2.128305342
3.467421002,2.090177592,2.116929939,2.006393445,2.090357225,2.077394118,2.088391496,2.125542203
3.478998368,2.093210426,2.117291625,2.01345265,2.09339393,2.079483784,2.091365026,2.12640553
3.490614389,2.095010884,2.118220035,2.017962425,2.095196442,2.08414063,2.091684349,2.128346007
3.502269195,2.090533393,2.114287783,2.008071977,2.090712791,2.085542972,2.085741894,2.12209798
3.513962915,2.092785464,2.115837716,2.013004235,2.092965652,2.088806731,2.086393688,2.123775006
3.52569568,2.089307993,2.112434734,2.006013472,2.089485402,2.087973229,2.084116638,2.120276133
3.537467618,2.088846854,2.112711477,2.00490618,2.089022999,2.092737854,2.079796652,2.121411207
3.549278863,2.093204329,2.114437456,2.013873184,2.093386646,2.093761047,2.085256167,2.121918971
3.561129543,2.090749921,2.112142606,2.00924377,2.090930311,2.093836414,2.080456923,2.119337924
3.573019792,2.091474756,2.111611802,2.010777122,2.091657074,2.097312158,2.079416763,2.118838994
3.584949741,2.089976257,2.108650774,2.007685007,2.090158953,2.096538167,2.077399603,2.115907217
3.596919523,2.090436286,2.108755631,2.008527182,2.090619976,2.096571488,2.080428436,2.114764175
3.608929271,2.086803153,2.106747196,2.000180663,2.086984203,2.097059132,2.075483606,2.112580124
3.620979119,2.088038047,2.106270712,2.002724672,2.088221204,2.098699484,2.075388704,2.112247225
3.633069199,2.088386728,2.106268236,2.003355795,2.088571998,2.098381439,2.074553219,2.110653004
3.645199647,2.085060373,2.102152921,1.996522788,2.08524177,2.098563657,2.071938203,2.108153649
3.657370598,2.088315846,2.102390505,2.004034001,2.088501147,2.100415184,2.073608849,2.106518463
3.669582186,2.088285659,2.102165356,2.003753256,2.088471697,2.101352545,2.071657536,2.105883219
3.681834547,2.087375729,2.099928532,2.00197743,2.087560679,2.10149131,2.071907454,2.103716744
3.694127818,2.082842385,2.09734276,1.991166828,2.083023304,2.097772902,2.06752194,2.100943905
3.706462134,2.086540132,2.099485048,1.999373236,2.086725326,2.104427968,2.066749924,2.101096991
3.718837634,2.083182433,2.096000361,1.992095227,2.083363607,2.099321828,2.06609016,2.096984074
3.731254454,2.086248877,2.097575845,1.99936554,2.08643265,2.103536997,2.067178582,2.097992246
3.743712733,2.082736185,2.094726793,1.990905171,2.082916053,2.099047941,2.065749853,2.095889841
3.756212608,2.0861226,2.094979194,1.999095887,2.086303613,2.102729873,2.068057239,2.096560105
3.76875422,2.082257483,2.093147227,1.990184514,2.082433183,2.100295334,2.064398704,2.094809025
3.781337706,2.083638114,2.094107226,1.992937888,2.083813019,2.104069039,2.061528461,2.093774129
3.793963208,2.081560277,2.092877995,1.988159713,2.081732594,2.101873528,2.059850058,2.093467506
3.806630864,2.082787529,2.092798348,1.990866738,2.082959735,2.10155234,2.06323356,2.090764415
3.819340817,2.078705744,2.089262875,1.981458278,2.078877526,2.096528829,2.061341849,2.087063726
3.832093207,2.081457683,2.08885168,1.988372488,2.081629695,2.097680642,2.066491568,2.085829397
3.844888176,2.077678463,2.088530305,1.979101014,2.077845269,2.093651787,2.061694137,2.084785411
3.857725866,2.074846358,2.085253139,1.972510099,2.07501083,2.093564889,2.058814069,2.083651659
3.87060642,2.077641012,2.086490657,1.978794873,2.077808932,2.096102231,2.058557463,2.082085743
3.883529981,2.076603092,2.087336284,1.976129454,2.076773842,2.09383124,2.059328175,2.083461902
3.896496692,2.075917972,2.085500741,1.974958672,2.076086914,2.093974671,2.059890968,2.080217522
3.909506697,2.076389311,2.085093924,1.976007606,2.076560498,2.094447021,2.059795879,2.081240187
3.922560142,2.075795704,2.085096181,1.974417034,2.075967482,2.094692046,2.057116749,2.08066749
3.935657171,2.075978896,2.083343723,1.975159449,2.076149514,2.093666848,2.058934476,2.079421802
3.94879793,2.076038274,2.083927752,1.975018872,2.076206697,2.094562792,2.058740548,2.080655663
3.961982564,2.076612394,2.083915372,1.976450373,2.076782489,2.097454349,2.056798608,2.077676518
3.97521122,2.076480567,2.08382733,1.975873657,2.076641991,2.091434118,2.061466605,2.079934164
3.988484045,2.074946727,2.081908826,1.972086222,2.075099154,2.091012138,2.060709376,2.077527255
4.001801188,2.079375511,2.083803076,1.983152604,2.079503138,2.095892578,2.063177452,2.080464145
4.015162794,2.077108426,2.082155208,1.977732387,2.077187801,2.093719542,2.061034803,2.076392903
4.028569014,2.080458448,2.084459995,1.985191422,2.080372381,2.093256628,2.066839895,2.079843153
